170	92	131	155	64	152	59	149	22	140	171	123	188	132	157	191	31	80	68	50
75	51	86	112	186	164	140	133	52	96	172	145	82	150	176	168	66	185	58	34
2	190	138	151	89	123	135	138	172	102	117	170	53	28	101	100	126	105	122	70
131	1	140	121	93	11	13	62	98	51	116	75	112	18	88	139	6	98	94	160
188	173	36	95	61	45	146	96	191	140	106	128	152	125	157	75	95	174	50	45
106	186	28	149	116	174	179	180	125	85	87	41	115	196	144	122	74	49	200	40
62	125	56	11	185	189	88	155	153	149	90	117	157	110	38	50	172	137	161	22
122	148	5	12	115	6	132	147	164	147	187	169	137	184	67	165	20	34	0	149
60	58	17	61	1	100	62	4	113	8	13	30	35	31	133	81	131	166	147	2
75	197	193	172	106	36	146	71	109	54	142	9	44	54	7	119	141	141	197	163
107	199	99	52	57	102	118	99	124	114	169	172	134	31	99	159	191	14	51	162
124	167	106	4	194	28	199	184	160	87	117	154	97	67	131	59	21	146	105	174
13	152	106	180	37	19	153	81	42	171	122	27	108	109	114	53	147	104	9	83
52	104	86	159	80	191	121	101	138	139	110	61	27	133	193	77	9	110	11	57
178	96	27	71	9	75	5	169	22	128	65	178	187	148	47	49	59	79	171	194
92	182	131	120	11	72	177	144	81	97	115	127	122	87	129	47	178	86	53	139
37	0	196	123	25	125	43	50	6	69	98	60	104	131	14	88	21	4	132	57
25	12	49	153	106	14	62	95	163	92	172	168	110	158	130	135	180	141	114	87
196	177	12	3	152	188	120	163	144	176	154	54	176	199	146	80	7	32	122	74
18	197	59	1	145	43	100	78	156	5	86	166	99	154	122	162	138	38	34	29
